Chart Recorder Data File Thu, Feb 27, 2020 12:14 PM
Time (s)	Position (m)  
11:56:22.921	0.214000
11:56:23.922	0.214000
11:56:24.922	0.214000
11:56:25.922	0.214000
11:56:26.922	0.214000
11:56:27.922	0.215000
11:56:28.922	0.215000
11:56:29.921	0.215000
11:56:30.922	0.215000
11:56:31.922	0.215000
11:56:32.922	0.215000
11:56:33.922	0.215000
11:56:34.922	0.215000
11:56:35.922	0.215000
11:56:36.921	0.216000
11:56:37.922	0.215000
11:56:38.922	0.216000
11:56:39.922	0.216000
11:56:40.922	0.216000
11:56:41.922	0.216000
11:56:42.922	0.216000
11:56:43.922	0.216000
11:56:44.922	0.216000
11:56:45.922	0.216000
11:56:46.922	0.216000
11:56:47.922	0.216000
11:56:48.921	0.216000
11:56:49.922	0.217000
11:56:50.922	0.217000
11:56:51.922	0.217000
11:56:52.922	0.217000
11:56:53.922	0.217000
11:56:54.922	0.217000
11:56:55.921	0.218000
11:56:56.922	0.218000
11:56:57.922	0.218000
11:56:58.922	0.218000
11:56:59.922	0.218000
11:57:00.922	0.218000
11:57:01.922	0.218000
11:57:02.921	0.218000
11:57:03.922	0.218000
11:57:04.922	0.218000
11:57:05.922	0.218000
11:57:06.922	0.218000
11:57:07.922	0.219000
11:57:08.922	0.219000
11:57:09.921	0.219000
11:57:10.922	0.219000
11:57:11.922	0.219000
11:57:12.922	0.219000
11:57:13.922	0.219000
11:57:14.922	0.219000
11:57:15.922	0.219000
11:57:16.922	0.219000
11:57:17.922	0.219000
11:57:18.922	0.220000
11:57:19.922	0.219000
11:57:20.922	0.220000
11:57:21.921	0.220000
11:57:22.922	0.220000
11:57:23.922	0.220000
11:57:24.922	0.220000
11:57:25.922	0.220000
11:57:26.922	0.220000
11:57:27.922	0.220000
11:57:28.921	0.220000
11:57:29.922	0.220000
11:57:30.922	0.221000
11:57:31.922	0.221000
11:57:32.922	0.221000
11:57:33.922	0.221000
11:57:34.922	0.221000
11:57:35.922	0.221000
11:57:36.922	0.221000
11:57:37.922	0.221000
11:57:38.922	0.221000
11:57:39.922	0.221000
11:57:40.922	0.221000
11:57:41.922	0.221000
11:57:42.922	0.222000
11:57:43.922	0.221000
11:57:44.922	0.222000
11:57:45.922	0.222000
11:57:46.922	0.222000
11:57:47.921	0.222000
11:57:48.922	0.222000
11:57:49.922	0.222000
11:57:50.922	0.222000
11:57:51.922	0.222000
11:57:52.922	0.222000
11:57:53.922	0.222000
11:57:54.921	0.222000
11:57:55.922	0.222000
11:57:56.922	0.222000
11:57:57.922	0.222000
11:57:58.922	0.222000
11:57:59.922	0.222000
11:58:00.922	0.222000
11:58:01.921	0.222000
11:58:02.922	0.222000
11:58:03.922	0.222000
11:58:04.922	0.222000
11:58:05.922	0.222000
11:58:06.922	0.222000
11:58:07.922	0.222000
11:58:08.921	0.222000
11:58:09.922	0.222000
11:58:10.922	0.222000
11:58:11.922	0.222000
11:58:12.922	0.222000
11:58:13.921	0.222000
11:58:14.922	0.222000
11:58:15.922	0.222000
11:58:16.922	0.222000
11:58:17.922	0.222000
11:58:18.922	0.222000
11:58:19.922	0.222000
11:58:20.921	0.222000
11:58:21.922	0.222000
11:58:22.922	0.222000
11:58:23.922	0.222000
11:58:24.922	0.222000
11:58:25.922	0.221000
11:58:26.922	0.221000
11:58:27.921	0.222000
11:58:28.922	0.221000
11:58:29.922	0.222000
11:58:30.922	0.222000
11:58:31.922	0.222000
11:58:32.922	0.222000
11:58:33.922	0.222000
11:58:34.921	0.221000
11:58:35.922	0.222000
11:58:36.922	0.221000
11:58:37.922	0.221000
11:58:38.922	0.222000
11:58:39.922	0.221000
11:58:40.922	0.221000
11:58:41.922	0.221000
11:58:42.922	0.221000
11:58:43.922	0.220000
11:58:44.922	0.221000
11:58:45.922	0.221000
11:58:46.921	0.220000
11:58:47.922	0.220000
11:58:48.922	0.220000
11:58:49.922	0.220000
11:58:50.922	0.220000
11:58:51.922	0.220000
11:58:52.922	0.220000
11:58:53.921	0.219000
11:58:54.922	0.220000
11:58:55.922	0.220000
11:58:56.922	0.220000
11:58:57.922	0.220000
11:58:58.922	0.219000
